,0
0,4344090.685306137
1,4025406.6082823076
2,4361154.680984823
3,3990047.84166765
4,4170726.9912701827
5,4575671.262806098
6,4858041.238697717
7,4168956.345712765
8,4486915.989690291
9,4681323.333068915
10,4920241.267834782
11,4317643.345710012
12,4683077.592831036
13,4497632.575997978
14,4839029.618064894
15,4848987.968879765
16,4681207.453773819
17,4599742.661256451
18,4575904.630836132
19,3921636.4189375616
20,4267870.506991645
21,4751532.473706298
22,4146602.862044195
23,4999834.610437736
24,4866552.148670535
25,3882283.4871505946
26,3580330.641500462
27,4569410.453155128
28,4217648.714111036
29,5030828.171092375
30,5071376.945856072
31,4759821.712766096
32,4196091.435463448
33,4678921.136888254
34,4324285.523886231
35,5383287.890343894
36,4248280.67233129
37,4467543.371126827
38,3925442.652188836
39,4978404.323158305
40,4692262.073661192
41,4340324.794045806
42,3592945.42069046
43,4921336.846811232
44,4737893.864090324
45,4026969.1606244594
46,4090528.5354287205
47,4570360.602185988
48,4475347.018567185
49,4351888.135334403
50,4118866.3966276413
51,4190049.08605223
52,4640094.345206811
53,4249979.453556641
54,4215663.593840114
55,4598954.521078889
56,5006130.858754734
57,4693956.771287878
58,4528381.827644901
59,4610705.084283472
60,4052562.513665994
61,4455502.249329383
62,4579788.086622148
63,4727721.998426292
64,4660805.051118796
65,4988714.34604572
66,4303715.97890274
67,4717415.781618007
68,4793429.856457597
69,4911308.134350262
70,4939917.771903236
71,4599107.261188122
72,4368865.2222631555
73,4280233.667492196
74,4602006.223641251
75,4297260.386761557
76,4928585.825366488
77,4085890.421828802
78,3967777.079863782
79,4521428.277193622
80,4941290.831288248
81,4309392.807309054
82,4659757.483361594
83,4410553.529664996
84,4930156.614735717
85,3653516.8147740373
86,4877379.161268071
87,4688578.988789967
88,4726276.4127646955
89,4402684.262682512
90,4873550.466893555
91,4577676.412465015
92,4296728.474097805
93,4380442.914676787
94,4272944.604284044
95,4546462.146547019
96,4571935.486790811
97,4260741.494365713
98,4250632.111868667
99,5102912.883564044
100,4746466.18722521
101,3645540.676809052
102,4623404.355245279
103,3912433.223857367
104,4148548.7658451027
105,3952008.058427755
106,4650532.561128894
107,4888385.549265677
108,4360578.672096364
109,5385649.614564603
110,4940354.5863841325
111,4662450.654397844
112,4302118.807400059
113,4790161.540423229
114,4347784.613382869
115,4807044.260509155
116,4134068.0528017567
117,4770621.708265818
118,4635180.263457313
119,4576521.164508503
120,4620247.407493935
121,4324460.816110663
122,4609939.20420914
123,4443154.289617558
124,3835145.3359222542
125,3854089.4657569886
126,4395972.832451256
127,4275836.50388218
128,4515834.365704089
129,3630194.752693395
130,4351047.960635826
131,4373342.083842513
132,4281867.399288161
133,3829610.9541495116
134,3708661.1404186008
135,4341158.230039702
136,4446968.76299927
137,4225776.262401911
138,4519329.744292621
139,4918181.967256945
140,5278334.430825164
141,3823732.5417274167
142,4949069.013426613
143,4293809.848885389
144,4733535.382628837
145,4185226.151368487
146,4516312.594924046
147,4168463.558498357
148,4084658.641868122
149,3911805.7913970854
150,4743956.751840995
151,4002570.7430721815
152,4445360.113222745
153,5274989.581715001
154,4691333.383042622
155,4356367.01872147
156,4373858.100859618
157,4628753.94414582
158,4410372.132159322
159,4249784.3643267425
160,4071006.460542614
161,4284549.592272682
162,4302319.391747383
163,4377706.309619916
164,4950343.006185569
165,4334083.656392076
166,4564279.004792265
167,4146995.8875275874
168,4500192.498525028
169,4961024.37777644
170,4178799.875370404
171,4056535.1225327807
172,4452109.006203018
173,4235177.003581946
174,4847087.861211721
175,3880496.689954603
176,5177562.745471964
177,4289361.762866854
178,4570388.778722908
179,4141086.3152102423
180,4212758.754569656
181,4435327.2475564275
182,4726916.788079474
183,4308686.030910769
184,4272567.350531782
185,3822858.3368534474
186,3483815.1475239694
187,4389602.7843973525
188,4320815.058003614
189,4369407.779445815
190,4132812.5347731174
191,4536232.876083964
192,4964921.842123327
193,4128105.7814858193
194,4707709.622943923
195,4623117.377772933
196,4691359.19644454
197,4009955.952491669
198,4344703.1790888645
199,4764805.57677886
200,4558928.563774187
201,3818938.626308439
202,4507651.297332935
203,4748882.812084514
204,4908970.643523095
205,4175010.340151045
206,4201910.739726951
207,4662869.9855387835
208,4479109.186492207
209,3938445.920995485
210,4302313.654644567
211,4338323.6287502395
212,4154164.8691537376
213,4280302.615789862
214,4781719.637243592
215,3497497.4623039053
216,4431023.582392079
217,4891696.667977644
218,4458025.858451135
219,3811282.9514438757
220,5047484.940121191
221,3827525.95496149
222,4524769.034945575
223,4290324.637723193
224,5073587.605753126
225,4162389.2815592447
226,3996653.790166131
227,4899695.140098751
228,4739710.065049861
229,4331460.2565797465
230,4461210.733284534
231,4920838.666366535
232,4417415.094302723
233,4283286.682146133
