,0
0,426599.7193915546
1,526454.1762407636
2,113815.12124214415
3,1270845.7203973122
4,-770407.7931365147
5,9712671.507358313
6,6779977.219973436
7,2111239.6739983666
8,10444084.656653885
9,16754246.350691864
10,15020095.632562006
11,6041210.122728735
12,-251379.7556040557
13,5089516.0555764465
14,9533039.051418936
15,6684039.416240608
16,-18694322.52372002
17,-2450929.132151155
18,-16819989.651293486
19,2693473.964578172
20,6387167.56765639
21,6008280.010990145
22,3765962.9376555495
23,2418346.6474805665
24,12537518.15339673
25,8501760.673696008
26,984260.0204702909
27,2302595.899258364
28,2639126.874597997
29,8770793.050270824
30,19910647.010627132
31,2739151.0904544964
32,4433663.202021891
33,5620605.101597035
34,7329176.0927628
35,-8656001.956368025
36,2074974.229870807
37,17368906.296807528
38,2838118.358593513
39,2522984.3364364263
40,7861477.89419971
41,4011363.4452272356
42,12460022.382090764
43,8587347.69561991
44,-1846389.78095588
45,4670064.142478098
46,2212296.5753064128
47,-7627132.779717198
48,-5889751.551799979
49,5262652.82150757
50,2882689.4969654977
51,1214288.9642738416
52,6306966.836994979
53,2877022.2868635664
54,4434388.19638151
55,5693600.263067256
56,9024545.69219756
57,1072397.055887132
58,5208338.578216048
59,3002488.7119176015
60,9347287.028852087
61,4785918.421024013
62,14272128.748718219
63,4494303.542382546
64,9500657.465037785
65,-344497.9653519783
66,6045690.530497895
67,1040173.7507719332
68,413869.2435664991
69,6198564.705820845
70,11575275.046820862
71,6646800.1877609305
72,-1204156.0561292972
73,5364926.053169921
74,3980710.3655861756
75,7613055.801031667
76,5735457.417579002
77,3892019.1974652046
78,3515193.1973437164
79,-8448636.497670041
80,12929233.783658437
81,3454727.807611055
82,14820061.400917985
83,2408434.6550452723
84,8845601.192370351
85,4070648.9068069225
86,7215229.65029563
87,8026855.620818064
88,7179731.282722036
89,-17659856.026242346
90,3525533.6888058516
91,12417718.590823237
92,6235609.515904911
93,6317429.502025176
94,6695579.995154435
95,-2025491.7115923828
96,-4739959.036964659
97,5809944.64269966
98,8518031.970021345
99,11237651.65414906
100,5772709.613379851
101,4786732.5086699575
102,5963473.947029579
103,4223804.389619265
104,6818048.23539277
105,-2209800.7122750785
106,2722729.184854927
107,8034304.421195977
108,6097527.822929091
109,9417838.28754432
110,98484.67843866162
111,4024850.435168093
112,7177846.093883326
113,8165238.642422127
114,11286492.197045375
115,-5425246.37308537
116,2968312.6018252736
117,6084987.183663724
118,8763080.360803593
119,1465132.4227039348
120,7100927.061782016
121,6063654.9878483275
122,8013787.129500659
123,7576824.2027831925
124,3357576.5171129387
125,-2761371.0743194604
126,14158717.631106319
127,5477005.495127277
128,2839929.691643467
129,11181267.087490631
130,5245399.653024189
131,20538476.380912077
132,4880816.457650816
133,12103050.97433642
134,9957846.857457716
135,-3832912.6699563153
136,175576.14747623168
137,-1796118.3397518508
138,22590438.796558864
139,5224831.257088158
140,12826281.369883332
141,3758420.01939122
142,6490367.526966408
143,3738496.882103806
144,6542295.628174352
145,-3402326.6176534574
146,-4384153.006154183
147,4006623.600600184
148,3691846.2074357057
149,6604238.126869135
150,2635773.888799796
151,2901013.690564322
152,5072560.736994979
153,11882797.401978567
154,5988757.156138686
155,1387365.7639323454
156,2209921.2496108785
157,3710535.460811247
158,22644354.785242878
159,2498995.256435249
160,4279021.556853961
161,7425662.063446784
162,3728420.798135453
163,2326108.1197942323
164,1316851.743501164
165,5286641.423448176
166,-2249484.539206856
167,4113693.2731252857
168,2993792.163924251
169,9758971.439883389
170,2335792.8233784377
171,-21930.58831546642
172,-8109365.485000955
173,8464404.92522769
174,9829907.274833724
175,3025899.1709184106
176,4999367.192520678
177,5240832.753677746
178,9923907.399959939
179,3583082.782781672
180,4433275.696818378
181,5298563.270702395
182,-5094255.35496054
183,14195605.792362826
184,21389513.589637578
185,5147153.093425601
186,3939019.987136486
187,7919275.269217369
188,4498584.516361384
189,-662172.8906614501
190,7079208.141313492
191,11137534.32839378
192,6102669.67543399
193,80173.13314767554
194,5586549.765805831
195,1448176.3780647935
196,1356347.90942391
197,4421909.8524592165
198,4535375.394930499
199,2813986.5234169997
200,6590291.013613667
201,792215.2330626342
202,5167779.021537943
203,10628307.335509758
204,6892492.987295747
205,6843388.407062203
206,19205554.795304336
207,10897535.679837622
208,5842495.632225556
209,5104131.3276068745
210,4667574.117363318
211,3006733.614568463
212,2533647.0816133623
213,509413.3038472589
214,2864760.2173888693
215,4091991.636031821
216,16836013.177821152
217,3574931.9727623444
218,6862276.8925536275
219,3372212.6557763293
220,4865695.995945403
221,5882831.465968546
222,4243663.371229213
223,2704687.039106926
224,5457357.280982857
225,-8991032.942213012
226,4326789.849909394
227,3909853.2294728057
228,3276558.6823738315
229,-17188187.90043936
230,1785274.5375713306
231,11562378.431418538
232,2542361.3984905514
233,259823.84185686335
234,1912540.746069875
235,6500337.661067266
236,9962493.124089984
237,4461763.257525933
238,12292652.533227578
239,-11938449.288256278
240,7414190.7427580245
241,10683224.223871974
242,-856813.7036753204
243,-1370941.7370312791
244,-4932421.031789158
245,-1790694.3738292716
246,4609967.674840497
247,4934760.202759295
248,-1175297.7091299035
249,2899872.133474665
250,-3061155.5134894075
251,6349011.750498425
252,1506897.865039831
253,484702.94065293204
254,869437.8056739923
255,10075685.318333168
256,5763665.321094379
257,4919727.949216003
258,-14919689.245012274
259,4859290.418957564
260,1129531.256299708
261,13471129.111495243
262,4278133.841157219
263,4158332.0026274594
264,4227817.083528003
265,363539.2015566267
266,7496677.273053482
267,5238644.559959113
268,7760314.730815963
269,5044652.792020432
270,4487520.374716343
271,4067558.565766163
272,-1143898.5621701786
273,10596211.327568874
274,5717250.648762009
275,11341089.710266784
276,-10518096.360031841
277,6356733.072382489
278,5610251.534508433
279,7992967.339840878
280,3498417.3601582753
281,6248859.107673151
282,-1239081.2623767834
283,3936680.9628953515
284,4414805.044843653
285,5230905.890019359
286,-1938498.8618951552
287,6238245.706543868
288,-4210057.875646329
289,1745722.8929928746
290,-13535111.987951385
291,5928364.698999053
292,1280881.7095952216
293,5676947.565875853
294,6016588.343805194
295,5841973.561540305
296,1562317.466530593
297,13109900.533706931
298,3558452.1407592753
299,3924015.757806507
300,9124479.060224075
301,2795231.682083036
302,6372443.563831106
303,8193507.483283907
304,5061153.61258379
305,6383169.829513947
306,4050114.230351596
307,3271819.132996763
308,9875242.00170425
309,3540155.8676279024
310,3275905.1852952503
311,7174564.2372767795
312,8591349.619374007
