,0
0,4541889.50990793
1,4157595.0143963704
2,4377143.144693518
3,3807577.1574140647
4,4551664.645468163
5,4756492.076143323
6,4968759.35355137
7,3970134.171279567
8,4350839.648947963
9,4454852.640629198
10,4977402.929258655
11,4421069.013088603
12,4484358.882307064
13,4551809.84540951
14,5412068.848853505
15,4835050.576168276
16,4768844.429127845
17,4306596.694614276
18,4674343.898877101
19,4035380.9525368637
20,4444421.032652192
21,4714712.235326773
22,4387519.54197547
23,4638639.558638861
24,9150034.51581559
25,3891330.371047614
26,3179571.6881231912
27,4595836.031121825
28,4483064.717577499
29,5543152.266710585
30,5456949.03315197
31,4595098.506701819
32,4221987.607038725
33,4784521.8959864825
34,4411384.309596018
35,5491085.894885982
36,4494226.488137184
37,4539573.329669703
38,3496107.7081388365
39,4884695.816892193
40,4886637.041779483
41,4063133.459406983
42,3513400.457774015
43,4884160.8461371735
44,4325680.834549598
45,3858184.8934312286
46,4234038.0726073235
47,4760547.237201695
48,4609972.325919496
49,4595023.4549142625
50,4387476.548659126
51,4281645.16434775
52,4681525.165149721
53,4486533.076097147
54,4389515.439013757
55,4874627.65197803
56,5273801.311640202
57,4588647.191956352
58,5279023.657347942
59,4924171.111181179
60,3939885.8224473065
61,4478300.1543027265
62,4536047.693546014
63,4737430.993806893
64,4844294.658018978
65,4987662.723540586
66,4339980.344001993
67,4809794.588199522
68,4759912.15440783
69,4732377.954812143
70,5091502.653373604
71,4666562.421469118
72,4222637.298792494
73,3887957.3930632537
74,4427110.285762847
75,4444990.326703736
76,4996104.470158368
77,3940960.642681079
78,4174647.140405743
79,4382495.880894291
80,5204177.59881006
81,4279893.916296368
82,4712020.51441297
83,4707866.745969647
84,4869610.805955966
85,2948286.570686547
86,4857190.837810302
87,4681938.340019298
88,4714125.834660248
89,8163498.360397486
90,4963014.844360417
91,4736680.493634548
92,4566469.735102542
93,4690858.603891079
94,4081187.9225769453
95,4290583.058393134
96,4694844.346990126
97,4458896.897558004
98,3878310.2346448516
99,5543526.444477375
100,5097265.242079563
101,3028537.2469951566
102,4395486.661493942
103,3750789.486822098
104,3888430.474548518
105,3617600.7791928523
106,4556068.022650593
107,5280619.194846457
108,4353028.350988987
109,5766126.970374328
110,5019913.183314319
111,4595785.818458907
112,4399209.052239382
113,5153261.136214416
114,4629524.696124495
115,4757189.072433587
116,4180985.393364822
117,4711593.078830087
118,4634028.407131467
119,4439026.9992947895
120,4714270.370005527
121,4365363.930054762
122,4773622.260582841
123,4496994.586159915
124,3852871.65046175
125,3885549.797103245
126,4893882.4619665565
127,3949758.0475402474
128,4872544.684943341
129,3580089.4648440587
130,4031382.449055812
131,4883338.096693878
132,4267649.114128164
133,3663283.8973155045
134,3682649.253170508
135,4561595.505908361
136,4516751.530541409
137,4023412.8383823205
138,4916441.10261539
139,4883949.294800984
140,5618691.620024662
141,3317625.128803677
142,5079699.526567496
143,4148267.419712584
144,4903895.711141719
145,3866612.503896943
146,4629483.033033652
147,4003110.1621548524
148,3829661.097265635
149,4040356.8100618646
150,4889617.772842549
151,4208106.189293092
152,4258789.764333676
153,5699790.92475179
154,5101945.186506816
155,4009410.3030866887
156,4299825.758410624
157,4668580.296135285
158,4545601.056160029
159,4416492.418179734
160,4218776.908300673
161,3890395.2353182263
162,4186920.2112422152
163,4337061.384004889
164,5404832.505324407
165,4263932.288442849
166,4283980.01796288
167,4196243.543006388
168,4532132.039289411
169,5048501.542817002
170,4224852.251735931
171,4120221.359997373
172,4218624.757316121
173,4410064.3236559285
174,5085937.027622212
175,3853618.666820555
176,5202407.760543866
177,4217001.856950293
178,4678582.410151262
179,3904576.20248765
180,4368989.556805937
181,4391901.121615673
182,4560464.653003157
183,3832837.022649006
184,4194952.571010983
185,3381327.1088207127
186,3018148.8940094705
187,4485380.068973853
188,4305884.954995623
189,4284403.664903015
190,4074196.2117980593
191,4487648.625699732
192,5015023.585162879
193,4095323.0851463936
194,4966112.74219608
195,4438231.471628384
196,4529478.621548849
197,3432483.729965571
198,4258868.209306504
199,4867243.128312314
200,4333426.631840846
201,3485370.8465778907
202,4500149.236849582
203,4902273.371646606
204,5237686.277484959
205,4090232.2896421026
206,4136853.0418418543
207,5005315.318130668
