,0
0,3949917.9408952286
1,3891390.639856324
2,4373773.02118887
3,3718870.5967376544
4,3739899.0215619835
5,4482394.046058157
6,4068907.312863752
7,4021308.9386418257
8,4938663.09429699
9,3750079.140354215
10,5234285.130351395
11,4304557.858632166
12,4496719.082203087
13,4775481.768136117
14,4896631.624723079
15,5187477.478479132
16,4438666.850113004
17,3211872.6816006238
18,4891380.374652263
19,3654058.3939637593
20,3887458.465320536
21,4804718.159891665
22,3900075.4059873223
23,4755243.067699976
24,6371342.323251711
25,4553936.021130555
26,3493662.3303974774
27,4010857.286356001
28,4210309.525970015
29,4793763.995625865
30,6138752.825365223
31,4113245.185503729
32,4146496.4995261277
33,5425515.412707056
34,4194836.27692372
35,5726206.156993942
36,3899449.4909822503
37,4263901.750595498
38,4010399.5482081063
39,4382222.016154211
40,4654685.300659876
41,4267382.939724443
42,3485515.8018295676
43,5492628.532445021
44,4070990.981446317
45,4245312.046910504
46,3840482.2575849677
47,2756510.7728536073
48,4510595.733766072
49,4448855.930692295
50,4341612.107022705
51,4467120.353923837
52,4947022.449403323
53,3546349.8582561463
54,3984052.3915464855
55,4410815.620241091
56,4545961.421689481
57,4144037.017206553
58,4636354.106840135
59,4031742.6049803924
60,3911454.9350780603
61,4255952.8212685855
62,4381303.537454879
63,4213208.087396263
64,4795690.462016435
65,5260311.907481182
66,4197930.128051991
67,5191748.645649621
68,4947348.1095781615
69,4803027.992996295
70,4585178.378941138
71,4133521.37805779
72,4052238.860059624
73,4253345.6776222475
74,4228473.831248154
75,4153908.9609408863
76,4322575.569305738
77,4189960.0574434185
78,3737513.794680273
79,3511267.459320717
80,5041891.708652043
81,4578532.909821863
82,4993683.034195643
83,4039595.562867958
84,5695767.404437646
85,3731621.7749694134
86,4807814.980773837
87,4997432.113402652
88,4375671.470892744
89,4776874.433569207
90,4483952.436479713
91,4252707.1402567625
92,4463069.468733859
93,4083497.362364758
94,4991841.620531963
95,3570200.5252799857
96,3729722.248166116
97,4452791.491066295
98,3862538.2523959107
99,5243490.189611206
100,5166299.177434009
101,3942284.946214906
102,4112634.0590577563
103,3802790.388545421
104,4570212.4156684615
105,2840448.0518482365
106,4781410.025247631
107,5213106.142859334
108,4816868.916173922
109,5134198.564406051
