Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1492.7235
FDW14,OUT017,1352.3885
NCN55,OUT010,2075.908
FDQ58,OUT017,871.36536
FDY38,OUT027,3291.8557
FDH56,OUT046,1880.6075
FDL48,OUT018,403.21262
FDC48,OUT027,1907.2266
FDN33,OUT045,1390.9045
FDA36,OUT017,2917.9006
FDT44,OUT017,1780.8063
FDQ56,OUT045,1243.1007
NCC54,OUT019,718.78436
FDU11,OUT049,1838.2711
DRL59,OUT013,783.79913
FDM24,OUT049,2294.5618
FDI57,OUT045,2960.6702
DRC12,OUT018,1662.4087
NCM42,OUT027,2639.6184
FDA46,OUT010,1780.3094
FDA31,OUT013,2690.4631
NCJ31,OUT035,4991.0854
FDG52,OUT046,712.30646
NCL19,OUT019,290.33072
FDS10,OUT035,2809.5376
FDX22,OUT010,2765.5164
NCF19,OUT035,751.4737
NCE06,OUT046,2454.7869
DRC27,OUT046,1579.9363
FDE21,OUT035,2434.689
NCR42,OUT019,10.493929
FDX51,OUT018,2436.1091
NCR06,OUT018,412.99307
FDU31,OUT027,3043.3267
FDU59,OUT017,2454.9353
FDR03,OUT027,2956.6802
FDS49,OUT027,2042.6051
FDD48,OUT010,1490.6382
NCF18,OUT017,4333.244
NCD43,OUT027,2480.9797
NCD54,OUT018,1183.4371
FDY19,OUT010,1041.3202
NCY54,OUT017,2666.5735
NCL19,OUT018,1840.4452
FDP23,OUT010,1811.1017
FDC26,OUT013,714.59424
FDR14,OUT010,397.47403
NCS41,OUT035,2899.7966
FDF41,OUT035,3471.35
FDU34,OUT046,2481.6924
DRH11,OUT046,855.20953
FDM03,OUT013,1487.1902
FDS31,OUT017,2829.827
FDJ20,OUT017,1904.5265
FDV44,OUT027,2858.316
FDG02,OUT049,2966.7688
FDA09,OUT013,2874.05
FDT04,OUT013,576.5715
FDL58,OUT019,472.5162
FDE52,OUT045,1859.6558
FDW12,OUT035,2474.7625
FDL51,OUT017,3213.9583
NCY42,OUT027,3059.826
FDR07,OUT017,1843.1414
FDN40,OUT045,3063.8914
FDB35,OUT027,823.1034
FDA22,OUT017,2572.7021
NCL06,OUT046,3835.2998
FDI35,OUT013,2874.5833
NCW42,OUT045,3237.9458
NCX06,OUT049,2836.0862
FDC37,OUT027,1902.2659
FDZ14,OUT018,1072.6108
DRG49,OUT049,3755.5005
NCG06,OUT045,3649.2078
DRC36,OUT045,2713.0725
FDV21,OUT019,354.57535
FDB53,OUT046,3082.1511
DRP47,OUT019,1276.9227
FDA14,OUT013,2303.2295
DRC24,OUT035,2321.5676
FDW21,OUT018,940.5921
NCH29,OUT046,1710.4431
FDU58,OUT013,4420.1616
FDY27,OUT017,3917.8213
FDV56,OUT035,1653.6688
FDT59,OUT046,3806.379
FDB23,OUT046,4586.7036
FDR49,OUT045,708.78766
FDB03,OUT010,1217.3705
FDN39,OUT045,930.9747
FDX02,OUT027,3311.5825
FDQ16,OUT027,1872.7047
FDU35,OUT018,1267.1573
NCT29,OUT013,1948.7802
FDZ27,OUT046,840.5855
FDN57,OUT017,1842.714
FDA03,OUT018,1740.637
FDZ36,OUT045,4353.319
NCU05,OUT013,1148.7334
FDT39,OUT018,1315.2546
FDK60,OUT017,1922.2255
FDZ25,OUT017,2639.0579
FDG12,OUT046,1839.9023
DRB01,OUT019,1049.6722
NCC43,OUT027,3350.8955
FDX13,OUT019,533.91235
FDM22,OUT049,850.54395
FDJ03,OUT027,1217.068
FDU14,OUT018,2200.78
FDB33,OUT010,1472.5525
FDP27,OUT046,3029.7458
FDO38,OUT010,949.7267
FDE28,OUT027,5549.5674
FDO27,OUT035,1413.4349
DRL23,OUT027,1756.6484
FDS28,OUT046,862.8737
FDX24,OUT013,1425.0427
FDZ02,OUT035,1486.9806
FDL46,OUT045,1852.1064
FDS60,OUT027,2426.2268
NCO06,OUT017,536.44336
FDO16,OUT035,493.11752
FDC60,OUT049,1394.7783
FDA48,OUT018,2912.7285
FDZ36,OUT027,2766.2446
FDK27,OUT045,1818.4194
FDW23,OUT018,390.0533
FDM14,OUT018,915.44006
FDM14,OUT013,1550.6403
FDW60,OUT018,3314.231
FDE21,OUT013,1765.6321
NCM42,OUT035,2128.5442
FDY59,OUT010,263.45938
DRI49,OUT049,1322.9513
FDT28,OUT019,299.6909
FDQ22,OUT018,448.2548
FDR60,OUT049,1207.6328
FDC50,OUT019,494.25983
FDV24,OUT013,870.2049
DRF48,OUT010,2386.6814
FDQ47,OUT046,546.7896
DRN36,OUT049,1479.0509
NCY06,OUT035,1914.7891
FDE52,OUT035,1413.9167
NCB54,OUT045,1867.0253
NCF31,OUT035,2452.169
FDJ08,OUT027,2703.0493
NCC07,OUT017,1654.4672
NCD19,OUT027,1065.0642
FDL46,OUT049,1906.3271
FDM20,OUT045,3587.9895
NCI06,OUT010,2385.6658
DRM11,OUT035,5146.832
NCH07,OUT018,1458.0298
FDS23,OUT013,2012.7048
FDO49,OUT018,439.97018
FDS35,OUT049,1035.7346
DRK39,OUT045,1301.3822
DRI39,OUT049,828.44183
FDV04,OUT017,2463.6914
NCN14,OUT035,4384.1465
FDH08,OUT013,3659.4866
FDS20,OUT046,2852.649
FDV40,OUT049,1047.4219
FDZ48,OUT010,1288.7198
FDS24,OUT027,1658.1212
FDK44,OUT049,2855.5728
FDS48,OUT045,3092.914
FDK26,OUT010,2416.5554
FDD23,OUT045,2838.1155
NCH54,OUT017,2627.0835
NCP14,OUT010,907.7156
FDM60,OUT010,354.99246
FDV24,OUT017,870.2049
FDH08,OUT018,692.1254
FDS12,OUT027,2127.336
FDR39,OUT027,1245.0769
FDP12,OUT027,926.68463
DRF60,OUT027,3397.1157
FDC09,OUT035,2103.3318
FDF50,OUT018,1619.5474
FDG28,OUT035,4989.7983
NCE19,OUT017,823.1271
NCM53,OUT010,1357.1414
NCN18,OUT049,1666.5417
FDF32,OUT035,4383.553
FDF11,OUT013,3801.855
DRI59,OUT049,3550.9673
NCG54,OUT035,2612.2375
FDM44,OUT046,1559.4375
FDT57,OUT018,2166.816
FDV24,OUT046,2298.0144
FDI50,OUT019,1158.7927
FDS09,OUT035,892.2523
NCC31,OUT027,2280.5833
FDQ07,OUT019,373.6639
FDC22,OUT017,2898.7993
FDZ56,OUT046,3477.0989
FDZ40,OUT019,153.57635
FDS46,OUT027,2066.8628
DRD24,OUT045,2012.8123
FDV45,OUT017,2926.6533
FDL26,OUT045,3073.8892
FDA56,OUT018,1045.9447
FDN27,OUT046,643.9716
FDM20,OUT049,3715.579
FDO16,OUT017,1339.0151
FDL03,OUT035,4419.578
FDE58,OUT046,785.6126
FDI02,OUT027,2053.883
NCC55,OUT019,131.013
FDR03,OUT018,2722.8298
FDB14,OUT017,1382.1011
FDR45,OUT013,1650.415
NCN07,OUT017,711.1434
FDM51,OUT019,59.65462
FDT52,OUT027,1819.23
FDL26,OUT046,2303.782
NCZ42,OUT046,3742.9092
DRI47,OUT019,448.86533
FDW40,OUT013,1949.0388
FDN34,OUT046,2621.0806
FDS01,OUT035,2759.6035
NCG55,OUT045,1751.8972
FDC11,OUT035,1647.6655
FDX35,OUT018,1978.2172
NCB06,OUT046,3307.7217
FDR09,OUT019,1191.8993
FDC53,OUT017,1913.0135
FDY45,OUT013,5221.4185
FDA22,OUT010,2826.5986
FDE02,OUT035,1416.1117
FDW21,OUT045,1683.258
FDV34,OUT046,1019.63727
FDS59,OUT049,2109.8267
NCW17,OUT017,2609.953
NCK54,OUT046,1770.9963
FDG17,OUT019,485.183
FDG35,OUT017,3702.0764
FDD08,OUT010,300.0247
NCO07,OUT017,3391.079
FDJ10,OUT010,1366.4578
FDW36,OUT017,1597.8557
FDW21,OUT010,1349.8638
FDY19,OUT017,1902.0927
DRE03,OUT013,690.2988
NCC55,OUT049,578.42255
FDH52,OUT010,614.0848
FDO09,OUT017,4402.7295
FDU43,OUT045,4590.973
FDX09,OUT010,2248.2178
FDH40,OUT019,291.83148
FDW58,OUT017,1471.9913
FDC47,OUT017,3638.838
NCR41,OUT035,1899.1753
DRG49,OUT035,3755.5005
FDC52,OUT027,2208.0513
FDY13,OUT046,1090.2212
FDY35,OUT013,604.6995
FDI35,OUT017,2924.245
NCU18,OUT049,2017.3235
FDY33,OUT018,1980.8347
FDC15,OUT027,2030.534
FDU01,OUT049,2931.0771
NCU42,OUT046,2573.8726
NCV29,OUT018,1628.0732
NCY30,OUT017,2965.0083
FDQ46,OUT049,1735.2584
FDG58,OUT027,2222.166
FDK33,OUT017,3167.0088
NCD07,OUT045,1731.9746
NCX29,OUT027,2250.1074
NCT42,OUT013,2475.2524
DRN59,OUT035,684.6967
FDI44,OUT035,1474.8243
FDA45,OUT049,2432.3792
FDP31,OUT045,1004.3873
FDY01,OUT046,867.5952
